id,name,level,propType,spirit,speed,range,vitalSensibility,skills,bodyPart,reward,canCapture,group,openMap,goodPoints,liveplace
605,Skull Miner,15,11,100,7,2,100,31,Body||Legs,2100|5;3402|0.1;3302|0.07,0,1,0,1,1
700,Pirate Warrior,18,1,100,7,1,70,6|16|19,Body|Head|Legs,2105|0.5;701|0.2;3402|0.1;3302|0.065,0,2,0,1,1
701,Pirate Sailor,18,8,100,7,2,75,6,Body|Head|Legs,2105|0.5;701|0.2;3402|0.1;3302|0.07,0,2,0,1,1
702,Octopus,20,7,100,9,5,85,34,Body|Head|Legs,304|0.1;4102|3;2105|2;3402|0.1,0,1,0,3,1
703,Red Beard,32,8,100,8,2,80,6|33,Body|Head|Legs,204|0.14;4208|0.24;500|0.34;604|0.16;701|0.23;3402|0.1;3302|0.15;3304|0.15,0,1,0,5,1
800,Wolf Captain,25,10,100,8,2,80,6|16|19,Body|Head|Legs,503|0.18;603|0.15;3402|0.1;3302|0.1;3304|0.1,0,1,0,0,1
810,Snake Spy,16,2,100,8,2,80,28|16|19,Body|Head|Legs,504|0.16;604|0.13;3402|0.1;3302|0.05,0,2,0,0,1
811,Bears Spy,16,3,100,10,2,80,28|16|19,Body|Head|Legs,504|0.16;604|0.13;3402|0.1;3302|0.05,0,2,0,0,1
812,Snake Leader,20,8,100,10,2,90,28|16|19,Body|Head|Legs,504|0.18;604|0.15;3402|0.1;3302|0.1;3304|0.1,0,1,0,0,1
813,Bear Leader,20,10,100,12,2,90,28|16|19,Body|Head|Legs,504|0.18;604|0.15;3402|0.1;3302|0.1;3304|0.1,0,1,0,0,1
900,Snake Captain,25,4,100,8,2,80,6|16|19,Body|Head|Legs,503|0.18;603|0.15;3402|0.1;3302|0.1;3304|0.1,0,1,0,0,1
910,Bears Spy,16,3,100,10,2,80,28|16|19,Body|Head|Legs,504|0.16;604|0.13;3402|0.1;3302|0.05,0,2,0,0,1
911,Wolf Spy,16,1,100,8,2,80,28|16|19,Body|Head|Legs,504|0.16;604|0.13;3402|0.1,0,2,0,0,1
912,Bear Leader,20,10,100,12,2,90,28|16|19,Body|Head|Legs,504|0.18;604|0.15;3402|0.1;3302|0.1;3304|0.1,0,1,0,0,1
913,Wolf Leader,20,4,100,10,2,90,28|16|19,Body|Head|Legs,504|0.18;604|0.15;3402|0.1;3302|0.1;3304|0.1,0,1,0,0,1
1000,Bear Captain,15,8,100,10,2,80,6|16|19,Body|Head|Legs,503|0.18;603|0.15;3402|0.1;3302|0.1,0,1,0,0,1
1010,Snake Spy,10,2,100,8,2,80,28|16|19,Body|Head|Legs,504|0.16;604|0.13;3402|0.1;3302|0.05,0,2,0,0,1
1011,Wolf Spy,10,1,100,8,2,80,28|16|19,Body|Head|Legs,504|0.16;604|0.13;3402|0.1;3302|0.05,0,2,0,0,1
1012,Snake Leader,20,8,100,10,2,90,28|16|19,Body|Head|Legs,504|0.18;604|0.15;3402|0.1;3302|0.1,0,1,0,0,1
1013,Wolf Leader,20,4,100,10,2,90,28|16|19,Body|Head|Legs,504|0.18;604|0.15;3402|0.1;3302|0.1,0,1,0,0,1
1300,Dark Elf,28,8,100,15,19,90,22|16|19,Body|Head|Legs,2302|2;3402|0.1;3304|0.12,0,1,0,1,1
1301,Poisonous Spider,27,4,100,7,1,75,1|27,Body|Head|Legs,2106|3;2109|2,5,2,0,0,1
1302,Forest Python,26,3,100,8,1,80,1|34,Body|Head|Tail,4102|3;2105|2,6,1,0,0,1
1303,Spider Queen,35,12,100,9,2,85,1,Body|Head|Legs,2106|3;2109|2;3305|0.16,7,1,0,5,1
1304,Unicorn,30,1,100,13,2,80,2|20,Body|Head|Legs,4102|3;3305|0.125;2406|0.2,8,1,0,0,1
1305,Flower Elf,40,1,100,17,20,75,22|20,Body|Head|Wings,4110|10;3305|0.2,7,1,0,0,1
1500,Grey Bear,40,13,100,8,3,70,24,Body|Head|Legs,3402|0.1;2402|0.2;2401|0.2;2400|0.2;2405|0.2;2300|0.5,0,1,0,0,1
1501,Troll,42,5,100,7,3,80,6,Body|Head|Legs,3402|0.1;2402|0.2;2401|0.2;2400|0.2;2405|0.2;2301|0.5,0,1,0,1,1
1502,Giant Centipede,38,8,100,11,2,85,1,Body|Head|Legs,3402|0.1;2402|0.2;2401|0.2;2400|0.2;2405|0.2;2302|0.5,6,1,0,1,1
1503,Lava Eater,50,11,100,6,2,60,24|2,Body|Head|Legs,3402|0.1;2402|0.2;2401|0.2;2400|0.2;2405|0.2;2302|0.5,0,1,0,1,1
1600,Undead Soldier,33,1,100,7,2,100,6|16|19,Body||Legs,2100|5;103|0.25;3402|0.1;3302|0.14,0,2,0,0,1
1601,Undead Archer,33,2,100,6,10,100,22,Body||Legs,2100|5;201|0.27;3402|0.1;3304|0.14,0,2,0,0,1
1602,Swamp Tentacle,35,6,100,2,8,100,34,Legs||,2105|2;3402|0.1,0,1,0,0,1
1603,Giant Crocodile,40,15,100,9,2,85,1|24,Body|Head|Tail,4102|3;2105|2,6,1,0,0,1
1700,Gargoyle,35,7,100,8,2,70,1,Body|Head|Wings,1101|5;2300|0.25;2301|0.25,0,1,0,1,1
1701,Dream Eater,50,2,100,10,14,100,15,Body||,2202|3;3402|0.1;3305|0.225,0,1,0,5,1
1702,Cave Bat,40,6,100,12,1,80,1,Body|Head|Wings,4102|2;2101|5,0,3,0,0,1
1703,Crow,7,4,100,7,1,80,17,Body|Head|Wings,4102|2,0,1,0,0,1
1704,Mouse,7,2,100,10,2,70,1,Body|Head|Legs,4102|2,0,1,0,0,1
1800,Dragonborn,45,9,100,12,7,80,1|25,Body|Head|Wings,4102|2;2404|2;2109|3;3402|0.1;3302|0.2;3304|0.2;2407|0.1,6,1,0,0,1
1801,Blue Dragon,80,7,100,17,17,85,1|2|14|26,Body|Head|Wings,4102|2;2404|5;2407|5;3402|0.1;3302|0.4;3304|0.4;3305|0.4,16,1,0,20,1
1802,Red Dragon,80,13,100,19,19,80,1|2|14|12,Body|Head|Wings,4102|2;2404|5;2407|5;3402|0.1;3302|0.4;3304|0.4;3305|0.4,16,1,0,20,1
1803,Frost Wyrm,80,15,100,18,18,80,1|2|14|13,Body|Head|Legs,4102|2;2404|5;2407|5;3402|0.1;3302|0.4;3304|0.4;3305|0.4,16,1,0,20,1
1804,Griffin,60,13,100,13,6,85,1|21|16,Body|Head|Wings,4102|2;2101|5;3305|0.275,12,1,0,0,1
1900,SteppenWolf,35,7,100,12,1,80,1,Body|Head|Legs,4102|2;2102|2,4,2,0,0,1
1901,Giant,65,11,100,10,3,60,8|16|19,Body|Head|Legs,1100|5;3402|0.1;3302|0.3;2405|0.2,10,1,0,5,1
1902,Thunderhawk,80,9,100,17,2,90,17|24,Body|Head|Wings,4102|2;2101|5;3305|0.375;3304|0.375,12,1,0,0,1
1903,Tarantula,40,8,100,9,1,80,1|27,Body|Head|Legs,2106|3;2109|2,5,1,0,0,1
1904,Savage,35,8,100,8,2,80,6|16|19,Body|Head|Legs,103|0.25;504|0.19;604|0.16;3402|0.1;3304|0.15,0,2,0,1,1
1905,Savage Leader,45,9,100,9,2,80,6|16|19,Body|Head|Legs,105|0.24;503|0.2;603|0.16;3402|0.1;3304|0.2,0,1,0,5,1
1906,Snowman,35,5,100,6,2,60,24|19,Body|Head|Legs,4109|10;3402|0.1;3302|0.15,0,1,0,0,1
1907,Snow Wolf,45,4,100,12,2,75,1,Body|Head|Legs,4102|2;2102|2,4,2,0,0,1
1908,Bear King,50,15,100,9,4,70,24|11,Body|Head|Legs,505|0.17;605|0.13;3402|0.1;3302|0.225,0,1,0,10,1
1909,Stone Puppet,45,13,100,6,2,60,24|2|16|19,Body||Legs,1101|5;2300|0.26;2301|0.26;3402|0.1;3302|0.2,0,1,0,0,1
1910,Griffin,60,13,100,13,6,85,1|21|16,Body|Head|Wings,4102|2;2101|5;3305|0.275;3304|0.275,12,1,0,0,1
1911,Titan,80,3,100,10,4,70,29|11,Body|Head|Legs,117|0.09;509|0.1;609|0.09;3402|0.1;3302|0.375;3304|0.375;3305|0.375,14,1,0,10,1
1912,Bear Warrior,40,13,100,8,3,70,24,Body|Head|Legs,505|0.16;605|0.13;3402|0.1;3302|0.175,0,1,0,0,1
2000,Ogre,52,4,100,7,3,65,24|16|19,Body|Head|Legs,108|0.16;3402|0.1;3302|0.235,0,2,0,2,1
2001,Ogre Leader,60,5,100,7,3,65,24|16|19,Body|Head|Legs,108|0.17;3402|0.1;3302|0.275;3304|0.275,0,1,0,8,1
2002,Cyclops,75,11,100,10,3,60,8|16|19,Body|Eye|Legs,108|0.18;3402|0.1;3302|0.35;3304|0.35,10,1,0,4,1
2003,Dark Caster,85,12,100,5,15,60,12,Body|Head|Legs,2100|5;2408|0.3;3402|0.1;3305|0.4,0,1,0,3,1
2004,Cursed Skeleton,55,13,100,8,2,100,6|16,Body||Legs,2100|5;3402|0.1,0,1,0,3,1
2100,Dungeon Bat,40,14,100,11,1,90,17,Body|Head|Wings,4102|2,0,1,0,0,1
2101,Soul Eater,50,13,100,13,1,90,1|26,Body|Eye|Legs,2202|0.36;3305|0.225,0,1,0,0,1
2102,Poisonous Spider,40,4,100,7,1,75,1|27,Body|Head|Legs,2106|3;2109|2,5,1,0,0,1
2103,Black Widow,55,2,100,8,1,85,1,Body|Head|Legs,2106|3;2109|2,7,1,0,0,1
2104,Stone Puppet,55,13,100,6,2,60,24|2|16|19,Body||Legs,1101|5;2300|0.27;2301|0.27,0,1,0,0,1
2105,Eye of Evil,65,7,100,5,8,100,22|30,Body||,304|0.09;3305|0.3,0,1,0,0,1
2106,Earthworm,45,11,100,3,2,30,2,Body|Head|,4102|2,5,1,0,0,1
2107,Rat King,60,9,100,12,2,75,24|1|16,Body|Head|Legs,107|0.21,0,1,0,0,1
2108,Guard of Devil,45,14,100,9,2,80,31|10,Body|Head|Legs,510|0.08;611|0.07;3402|0.1;3305|0.2;3304|0.2,0,1,0,0,1
2109,Shadow Crow,55,12,100,13,9,85,1|26,Body|Head|Wings,4102|2;2101|5;2202|0.37;3402|0.1;3305|0.25;3304|0.25,0,1,0,0,1
2110,Snake Queen,70,13,100,9,15,70,34|5,Body|Head|Legs,3402|2;3304|0.325,0,1,0,0,1
2111,Fallen Knight,60,3,100,15,3,80,6,Body|Head|,114|0.12;3402|0.1;3302|0.275;3304|0.275,0,1,0,0,1
2112,Chaos,75,1,100,15,5,100,31|4,Body||,2409|0.7;3402|0.1;3305|0.35,0,1,0,0,1
2113,Nightmare,75,9,100,20,10,100,31,Body||,510|0.09;611|0.08;3402|0.1;3305|0.35,0,1,0,0,1
2114,Guarded of Abyss,55,12,100,8,2,80,31|6|16,Body|Head|Legs,2405|2;2302|5;3402|0.1;3302|0.25,0,1,0,0,1
2115,Spirit of Abyss,65,2,100,8,5,80,31|28|16,Body|Head|Legs,2405|2;2302|5;3402|0.1;3302|0.3,0,1,0,0,1
2116,Lord of Abyss,75,3,100,8,9,80,31|11,Body|Head|Legs,120|0.08;2405|0.21;3402|0.1;3302|0.35;3304|0.35;3305|0.35,0,1,0,0,1
2117,Snake,35,1,100,8,3,80,1|34,Body|Head|Tail,4102|3;2105|2;3402|0.1;3304|0.15,0,1,0,0,1
2118,Cave bat,25,6,100,12,1,80,1,Body|Head|Wings,4102|2;2101|5,0,1,0,0,1
2119,Kobold,35,7,100,10,2,70,8|16|19,Body|Head|Legs,2200|5;2201|0.34;2300|0.25;2301|0.25;3402|0.1;3302|0.15,0,2,0,0,1
2120,Evil Wizard,65,9,100,5,13,65,12,Body|Head|Legs,2408|0.3;2109|10;3402|0.1;3305|0.3,0,1,0,0,1
2200,Turtle,10,3,100,4,1,85,1,Body|Head|Legs,4102|2;2108|1.2,2,1,0,0,1
2201,Jellyfish,15,14,100,4,3,20,34,|Body|Legs,2105|2,0,1,0,0,1
2202,Crab,20,11,100,10,1,95,7,Body|Eye|Legs,4102|2;2108|0.9,0,3,0,0,1
2203,Piranha,20,2,100,9,1,80,1,Body|Eye|Legs,4102|2,0,1,0,0,1
2300,Turtle,10,3,100,4,1,85,1,Body|Head|Legs,4102|2;2108|1.2,2,1,0,0,1
2301,Jellyfish,15,14,100,4,3,20,34,|Body|Legs,2105|2,0,1,0,0,1
2302,Sea Snake,35,14,100,6,1,90,1|34,Body|Head|Tail,4102|2;2109|2,3,1,0,0,1
2303,Octopus King,65,6,100,10,7,85,34,Body|Head|Legs,2105|10;4102|10;3402|0.1,0,1,0,0,1
2400,Murloc,25,6,100,6,2,75,1|34,Body|Head|Fins,2105|2;105|0.22;3402|0.1,0,1,0,0,1
2401,Mermaid,35,12,100,7,2,70,28,Body|Head|Tail,2105|2;3402|0.1,6,1,0,0,1
2402,Shark,45,8,100,12,2,80,1|2,Body|Head|Fins,4102|5;2303|2,0,1,0,0,1
2403,Centaur,75,1,100,11,16,80,22,Body|Head|Legs,4102|5;202|0.23;3402|0.1,0,1,0,0,1
2404,Medusa,75,9,100,10,10,80,22|30|18,Body|Head|Tail,204|0.17;608|0.11;508|0.14;3402|0.1,0,1,0,0,1
2405,Mouse,7,2,100,10,2,70,1,Body|Head|Legs,4102|2,0,1,0,0,1
2406,Phoenix,80,4,100,20,10,80,12|17,Body|Head|Tail,2403|10,0,1,0,0,1
2407,Bison,8,3,100,8,3,70,16,Body|Head|Legs,4102|2;2102|2,2,2,0,0,1
2408,Elk,7,1,100,11,2,70,2,Body|Head|Legs,4102|2;2102|2,2,1,0,0,1
2409,Mustang,7,1,100,12,1,70,16,Body|Head|Legs,4102|2;2102|2,2,2,0,0,1
2410,Cheetah,13,12,100,13,1,85,1|21,Body|Head|Legs,4102|2;2102|5,5,1,0,0,1
2411,Snake,9,1,100,8,3,80,1|34,Body|Head|Tail,4102|3;2105|2,0,2,0,0,1
2412,Bird,7,1,100,9,1,70,17,Body|Head|Wings,4102|2;2101|5,0,1,0,0,1
2413,Poisonous Evy,10,8,100,2,12,100,34,Body||,2104|5;2109|2,0,3,0,0,1
2414,Hare,7,1,100,7,1,65,16,Body|Head|Legs,4102|2;2102|2,0,1,0,0,1
2415,Wolf,11,2,100,13,2,80,1,Body|Head|Legs,4102|2;2102|2,4,3,0,0,1
2416,Bee Shooter,9,8,100,6,5,80,22,Body|Eye|Wings,4111|0.14;2107|1,0,5,0,0,1
2417,Bee Queen,14,12,100,11,8,75,22,Body|Eye|Wings,4111|2;2107|2;3402|0.1,0,1,0,0,1
2418,Jackal,10,10,100,14,2,75,1,Body|Head|Legs,4102|2;2102|2,4,2,0,0,1
2419,Microtus,6,2,100,10,2,70,1,Body|Head|Legs,4102|2,0,3,0,0,1
2420,Crow,6,4,100,7,1,80,17,Body|Head|Wings,4102|2,0,1,0,0,1
2421,Wolf,10,2,100,13,2,80,1,Body|Head|Legs,4102|2;2102|2,4,3,0,0,1
2422,White Wolf,13,9,100,14,2,75,1,Body|Head|Legs,4102|2;2102|2,4,1,0,0,1
2423,Wild Dog,7,2,100,10,1,80,1,Body|Head|Legs,4102|2;2102|2,3,2,0,0,1
2424,Thief,9,5,100,8,2,60,6|16|19,Body|Head|Legs,103|0.19;500|0.26;600|0.19;3402|0.1;3302|0.02,0,1,0,1,1
2425,Snitch,13,12,100,9,2,70,28|16|19,Body|Head|Legs,501|0.21;601|0.16;3402|0.1;3302|0.04,0,2,0,1,1
2426,Crazy Dog,10,2,100,10,1,80,1,Body|Head|Legs,4102|2;2102|2,3,2,0,0,1
2427,Man Eater,17,8,100,11,2,75,24|1|16,Body|Head|Legs,107|0.17,0,2,0,1,1
2428,Scorpio,16,13,100,7,4,80,28,Body|Head|Legs,2109|2;2107|0.38;3402|0.1;3305|0.055,0,1,0,1,1
2429,Kobold,18,7,100,10,2,70,8|16|19,Body|Head|Legs,2200|2;2201|0.3;2300|0.22;2301|0.22;3402|0.1;3302|0.065,0,2,0,1,1
2430,Dark Elf,29,8,100,15,19,90,22|16|19,Body|Head|Legs,2302|2;3402|0.1;3304|0.12,0,1,0,1,1
2431,Poisonous Spider,28,4,100,7,1,75,1|27,Body|Head|Legs,2106|3;2109|2,5,2,0,0,1
2432,Forest Python,25,3,100,8,1,80,1|34,Body|Head|Tail,4102|3;2105|2,6,1,0,0,1
2433,Spider Queen,37,12,100,9,2,85,1,Body|Head|Legs,2106|3;2109|2;3402|0.1,7,1,0,5,1
2434,Unicorn,30,1,100,13,2,80,2|20,Body|Head|Legs,4102|3;3402|0.1;3305|0.125;2406|0.2,8,1,0,0,1
2435,Flower Elf,45,1,100,17,20,75,22|20,Body|Head|Wings,4110|10;3402|0.1;3305|0.2,7,1,0,0,1
2436,Bear Warrior,29,13,100,8,3,70,24,Body|Head|Legs,505|0.15;605|0.12;3402|0.1;3302|0.12,0,1,0,0,1
2437,Troll,32,5,100,7,3,80,6,Body|Head|Legs,107|0.19;202|0.18;3402|0.1;3302|0.135,0,1,0,1,1
2438,Giant Centipede,28,8,100,11,2,85,1,Body|Head|Legs,4102|5;2109|3,6,1,0,1,1
2439,Lava Eater,35,11,100,6,2,60,24|2,Body|Head|Legs,1101|5;2402|0.18;2401|0.18;2400|0.18;3302|0.15,0,1,0,1,1
2440,Swamp Tentacle,35,6,100,2,8,100,34,Legs||,2105|2,0,1,0,0,1
2441,Giant Crocodile,40,15,100,9,2,85,1|24,Body|Head|Tail,4102|3;2105|2,6,1,0,0,1
2442,Gargoyle,35,7,100,8,2,70,1,Body|Head|Wings,1101|5;2300|0.25;2301|0.25,0,1,0,1,1
2443,Dream Eater,50,2,100,10,14,100,15,Body||,2202|3;3402|0.1;3305|0.225,0,1,0,5,1
2444,Cave Bat,40,6,100,12,1,80,1,Body|Head|Wings,4102|2;2101|5,0,3,0,0,1
2445,Crow,7,4,100,7,1,80,17,Body|Head|Wings,4102|2,0,1,0,0,1
2446,Mouse,7,2,100,10,2,70,1,Body|Head|Legs,4102|2,0,1,0,0,1
2447,Dragonborn,45,9,100,12,7,80,1|25,Body|Head|Wings,4102|2;2404|2;2109|3;3402|0.1;3302|0.2;3304|0.2,6,1,0,0,1
2448,Blue Dragon,85,7,100,17,17,85,1|2|14|26,Body|Head|Wings,4102|2;2404|5;2407|5;3402|0.1;3302|0.4;3304|0.4;3305|0.4,16,1,0,20,1
2449,Red Dragon,85,13,100,19,19,80,1|2|14|12,Body|Head|Wings,4102|2;2404|5;2407|5;3402|0.1;3302|0.4;3304|0.4;3305|0.4,16,1,0,20,1
2450,Frost Wyrm,85,15,100,18,18,80,1|2|14|13,Body|Head|Legs,4102|2;2404|5;2407|5;3402|0.1;3302|0.4;3304|0.4;3305|0.4,16,1,0,20,1
2451,Griffin,60,13,100,13,6,85,1|21|16,Body|Head|Wings,4102|2;2101|5;3305|0.275;3304|0.275,12,1,0,0,1
2452,SteppenWolf,35,7,100,12,1,80,1,Body|Head|Legs,4102|2;2102|2,4,2,0,0,1
2453,Giant,65,11,100,10,3,60,8|16|19,Body|Head|Legs,1100|5;3402|0.1;3302|0.3;3304|0.3,10,1,0,5,1
2454,Thunderhawk,80,9,100,17,2,90,17|24,Body|Head|Wings,4102|2;2101|5;3302|0.375;3304|0.375,12,1,0,0,1
2455,Tarantula,40,8,100,9,1,80,1|27,Body|Head|Legs,2106|3;2109|2,5,1,0,0,1
2456,Savage,35,8,100,8,2,80,6|16|19,Body|Head|Legs,103|0.25;504|0.19;604|0.16;3402|0.1;3304|0.15,0,2,0,1,1
2457,Savage Leader,45,9,100,9,2,80,6|16|19,Body|Head|Legs,105|0.24;503|0.2;603|0.16;3402|0.1;3304|0.2,0,1,0,5,1
2458,Snowman,35,5,100,6,2,60,24|19,Body|Head|Legs,4109|10;3402|0.1;3302|0.15,0,1,0,0,1
2459,Snow Wolf,45,4,100,12,2,75,1,Body|Head|Legs,4102|2;2102|2,4,2,0,0,1
1,White ghost,10,2,100,10,1,100,26,Body||,2202|1,0,1,0,0,0
2,Green ghost,20,2,100,12,1,100,26,Body||,2202|2,0,1,0,1,0
3,Black ghost,30,2,100,15,1,100,26,Body||,2202|5,0,1,0,5,0
10,Mouse,5,2,100,10,2,70,1,Body|Head|Legs,4102|2,0,1,0,0,0
11,Crow,5,4,100,7,1,80,17,Body|Head|Wings,4102|2,0,1,0,0,0
12,Thief,10,12,100,9,2,70,28|16|19,Body|Head|Legs,501|0.21;601|0.16,0,1,0,0,0
13,Snitch,10,5,100,8,2,60,6|16|19,Body|Head|Legs,103|0.19;500|0.26;600|0.19,0,1,0,0,0
14,Savage,10,8,100,8,2,80,6|16|19,Body|Head|Legs,103|0.25;504|0.19;604|0.16,0,1,0,0,0
20,Robin Hood,30,8,100,8,2,80,6|16|19,Body|Head|Legs,103|0.25;504|0.19;604|0.16,0,1,0,0,0
21,Black Beard,40,8,100,8,2,80,6|16|19,Body|Head|Legs,103|0.25;504|0.19;604|0.16,0,1,0,0,0
22,Grand Theft,50,8,100,8,2,80,6|16|19,Body|Head|Legs,103|0.25;504|0.19;604|0.16,0,1,0,0,0
23,Doll Face,50,8,100,8,2,80,6|16|19,Body|Head|Legs,103|0.25;504|0.19;604|0.16,0,1,0,0,0
24,The Pardoned,50,8,100,8,2,80,6|16|19,Body|Head|Legs,103|0.25;504|0.19;604|0.16,0,1,0,0,0
25,Dict Flat,50,8,100,8,2,80,6|16|19,Body|Head|Legs,103|0.25;504|0.19;604|0.16,0,1,0,0,0
10000,Naughty Monkey,4,1,100,3,2,70,16|19,Body|Head|Legs,,0,1,4,0,0
10001,Mayor,25,3,100,7,2,70,6|16|19,Body|Head|Legs,,0,1,5,1,0
10002,Bar Tender,7,2,100,9,2,70,28|16,Body|Head|Legs,,0,1,7,1,0
10004,Guard,10,3,100,7,2,70,6|16|19,Body|Head|Legs,,0,1,0,0,0
10005,Guard Captain,15,10,100,8,2,70,6|16|19,Body|Head|Legs,,0,1,0,0,0
10006,Wolf Patriarch,25,2,100,9,2,70,6|16|19,Body|Head|Legs,,0,1,9,0,0
10007,Wolf Elder,20,1,100,8,2,70,6|16|19,Body|Head|Legs,,0,1,16,0,0
10009,Wolf Guard,10,3,100,7,2,75,6|16|19,Body|Head|Legs,,0,1,0,0,0
10010,Wolf Captain,15,10,100,8,2,80,6|16|19,Body|Head|Legs,,0,1,0,0,0
10011,Snake Patriarch,25,2,100,9,2,70,6|16|19,Body|Head|Legs,,0,1,10,0,0
10012,Snake Elder,20,1,100,8,2,70,6|16|19,Body|Head|Legs,,0,1,14,0,0
10014,Snake Guard,10,1,100,7,2,75,6|16|19,Body|Head|Legs,,0,1,0,0,0
10015,Snake Captain,15,4,100,8,2,80,6|16|19,Body|Head|Legs,,0,1,0,0,0
10016,Bear Patriarch,25,2,100,9,2,70,6|16|19,Body|Head|Legs,,0,1,8,0,0
10017,Bear Elder,20,1,100,8,2,70,6|16|19,Body|Head|Legs,,0,1,15,0,0
10019,Bear Guard,10,2,100,8,2,75,6|16|19,Body|Head|Legs,,0,1,0,0,0
10020,Bear Captain,15,8,100,10,2,80,6|16|19,Body|Head|Legs,,0,1,0,0,0
10021,Gimly the Dwarf,55,14,100,10,2,70,28|16,Body|Head|Legs,,0,1,15,2,0
10022,Guard,48,3,100,7,2,70,6|16|19,Body|Head|Legs,,0,1,0,0,0
10023,Guard Captain,15,10,100,8,2,70,6|16|19,Body|Head|Legs,,0,1,0,0,0
10024,Elf Patriarch,45,12,100,10,10,80,22|25,Body|Head|Legs,,0,1,18,1,0
10025,Elf Prophet,40,12,100,10,10,70,8|27,Body|Head|Legs,,0,1,17,1,0
2500,Dimension Hunter,75,12,100,12,12,80,22,Body|Head|Legs,,0,1,0,0,2
2501,DimemsopmProtector,78,11,100,12,3,80,8|16|19,Body|Head|Legs,,0,1,0,0,2
2502,Dimension Mouse,72,12,100,12,1,80,1,Body|Head|Legs,,0,1,0,0,2
2503,Dimension Beast,84,12,100,12,2,80,28,Body|Head|Legs,,0,1,0,0,2
2504,Spirit of Evil,88,12,100,12,5,80,26,Body|Head|Legs,,0,1,0,0,2
2505,Dimension Eater,86,12,100,12,5,80,15,Body|Head|Legs,,0,1,0,0,2
10026,Necromancer,50,9,100,5,13,65,12,Body|Head|Legs,,0,1,21,2,1
2460,Chaos,75,1,100,15,5,100,31|4,Body||,2409|0.7;3402|0.1;3305|0.35,0,1,0,0,1
